corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
calgary	progp	zstd	49379	10452	1.6934	0.053	2453504	0.027	921600
calgary	trans	zstd	93695	17298	1.4770	0.083	3346432	0.027	983040
calgary	total	zstd	3141622	880781	2.2429	1.533	21209088	0.395	0
calgary	bib	brotli	111261	28380	2.0406	0.215	7516160	0.031	1089536
calgary	book1	brotli	768771	256323	2.6674	1.411	24195072	0.029	2400256
calgary	book2	brotli	610856	165262	2.1643	1.197	24498176	0.030	2154496
calgary	geo	brotli	102400	52915	4.1340	0.363	7602176	0.023	991232
calgary	news	brotli	377109	112968	2.3965	0.789	20148224	0.029	1720320
calgary	obj1	brotli	21504	9341	3.4751	0.060	2924544	0.026	835584
calgary	obj2	brotli	246814	65203	2.1134	0.540	14553088	0.029	1413120
calgary	paper1	brotli	53161	15457	2.3261	0.107	4595712	0.026	937984
calgary	paper2	brotli	82199	24851	2.4186	0.155	6156288	0.026	1019904
calgary	pic	brotli	513216	40939	0.6382	1.042	19292160	0.024	1785856
calgary	progc	brotli	39611	11619	2.3466	0.082	3850240	0.027	897024
calgary	progl	brotli	71646	14003	1.5636	0.137	5640192	0.026	966656
calgary	progp	brotli	49379	9879	1.6005	0.097	4399104	0.023	905216
calgary	trans	brotli	93695	15403	1.3152	0.170	6627328	0.026	1036288
calgary	total	brotli	3141622	822543	2.0946	6.365	24498176	0.375	0
canterbury	alice29.txt	nexcomp	152089	40544	2.1326	0.257	53719040	0.044	2781184
canterbury	asyoulik.txt	nexcomp	125179	37486	2.3957	0.214	53456896	0.047	2514944
canterbury	cp.html	nexcomp	24603	7160	2.3282	0.064	41066496	0.035	4755456
canterbury	fields.c	nexcomp	11150	3022	2.1683	0.049	40108032	0.029	3121152
canterbury	grammar.lsp	nexcomp	3721	1189	2.5563	0.045	38268928	0.028	2334720
canterbury	kennedy.xls	nexcomp	1029744	36800	0.2859	1.817	164282368	1.620	53493760
canterbury	lcet10.txt	nexcomp	426754	99582	1.8668	0.746	67215360	0.077	4796416
canterbury	plrabn12.txt	nexcomp	481861	134699	2.2363	0.901	73658368	0.087	5206016
canterbury	ptt5	nexcomp	513216	31801	0.4957	0.722	112574464	0.590	36241408
canterbury	sum	nexcomp	38240	9904	2.0720	0.105	91811840	0.027	1581056
canterbury	xargs.1	nexcomp	4227	1646	3.1152	0.044	38494208	0.028	2400256
canterbury	total	nexcomp	2810784	403833	1.1494	4.964	164282368	2.612	0
canterbury	alice29.txt	xz	152089	48528	2.5526	0.077	29216768	0.029	1032192
canterbury	asyoulik.txt	xz	125179	44592	2.8498	0.071	28065792	0.029	1003520
canterbury	cp.html	xz	24603	7652	2.4882	0.042	20525056	0.026	905216
canterbury	fields.c	xz	11150	3032	2.1754	0.033	9498624	0.027	888832
canterbury	grammar.lsp	xz	3721	1292	2.7777	0.032	5545984	0.028	880640
canterbury	kennedy.xls	xz	1029744	51868	0.4030	0.888	33845248	0.036	1908736
canterbury	lcet10.txt	xz	426754	119488	2.2399	0.158	42119168	0.032	1306624
canterbury	plrabn12.txt	xz	481861	165456	2.7469	0.175	36384768	0.035	1359872
canterbury	ptt5	xz	513216	39860	0.6213	0.285	45146112	0.029	1392640
canterbury	sum	xz	38240	9500	1.9874	0.049	25890816	0.027	917504
canterbury	xargs.1	xz	4227	1812	3.4294	0.033	7446528	0.029	880640
canterbury	total	xz	2810784	493080	1.4034	1.843	45146112	0.327	0
canterbury	alice29.txt	bzip2	152089	43202	2.2725	0.039	1941504	0.031	1228800
canterbury	asyoulik.txt	bzip2	125179	39569	2.5288	0.034	1761280	0.031	1130496
canterbury	cp.html	bzip2	24603	7624	2.4790	0.028	1056768	0.026	724992
canterbury	fields.c	bzip2	11150	3039	2.1804	0.029	962560	0.025	671744
canterbury	grammar.lsp	bzip2	3721	1283	2.7584	0.022	651264	0.025	638976
canterbury	kennedy.xls	bzip2	1029744	130280	1.0121	0.073	7200768	0.044	4243456
canterbury	lcet10.txt	bzip2	426754	107706	2.0191	0.053	3817472	0.039	2301952
canterbury	plrabn12.txt	bzip2	481861	145577	2.4169	0.061	4272128	0.045	2568192
canterbury	ptt5	bzip2	513216	49759	0.7756	0.035	1773568	0.033	1134592
canterbury	sum	bzip2	38240	12909	2.7006	0.028	1138688	0.027	774144
canterbury	xargs.1	bzip2	4227	1762	3.3348	0.024	659456	0.025	638976
canterbury	total	bzip2	2810784	542710	1.5447	0.426	7200768	0.351	0
canterbury	alice29.txt	zstd	152089	49215	2.5887	0.084	6389760	0.027	1200128
canterbury	asyoulik.txt	zstd	125179	45141	2.8849	0.068	3547136	0.027	1044480
canterbury	cp.html	zstd	24603	7717	2.5093	0.037	1675264	0.027	897024
canterbury	fields.c	zstd	11150	3019	2.1661	0.033	1306624	0.027	880640
canterbury	grammar.lsp	zstd	3721	1215	2.6122	0.028	1011712	0.030	872448
canterbury	kennedy.xls	zstd	1029744	64818	0.5036	1.140	21348352	0.031	2084864
canterbury	lcet10.txt	zstd	426754	121340	2.2747	0.161	11333632	0.030	1544192
canterbury	plrabn12.txt	zstd	481861	167442	2.7799	0.222	11505664	0.030	1695744
canterbury	ptt5	zstd	513216	43551	0.6789	0.324	11366400	0.031	1564672
canterbury	sum	zstd	38240	11105	2.3232	0.053	2400256	0.028	913408
canterbury	xargs.1	zstd	4227	1728	3.2704	0.028	1097728	0.028	868352
canterbury	total	zstd	2810784	516291	1.4695	2.178	21348352	0.316	0
canterbury	alice29.txt	brotli	152089	46487	2.4453	0.293	10362880	0.027	1179648
canterbury	asyoulik.txt	brotli	125179	42713	2.7297	0.227	8806400	0.029	1118208
canterbury	cp.html	brotli	24603	6895	2.2420	0.062	2998272	0.026	872448
canterbury	fields.c	brotli	11150	2717	1.9494	0.047	2416640	0.026	794624
canterbury	grammar.lsp	brotli	3721	1125	2.4187	0.035	2011136	0.026	745472
canterbury	kennedy.xls	brotli	1029744	61498	0.4778	2.608	60039168	0.033	2641920
canterbury	lcet10.txt	brotli	426754	113416	2.1261	0.782	19124224	0.028	1818624
canterbury	plrabn12.txt	brotli	481861	163267	2.7106	0.822	20148224	0.028	1961984
canterbury	ptt5	brotli	513216	40939	0.6382	1.062	19275776	0.029	1785856
canterbury	sum	brotli	38240	10143	2.1220	0.084	3923968	0.027	884736
canterbury	xargs.1	brotli	4227	1464	2.7708	0.035	1937408	0.027	794624
canterbury	total	brotli	2810784	490664	1.3965	6.057	60039168	0.306	0
silesia	dickens	nexcomp	10192446	2344212	1.8400	16.769	514494464	0.900	71655424
silesia	mozilla	nexcomp	51220480	14148900	2.2099	57.637	2183188480	10.657	372224000
silesia	mr	nexcomp	9970564	1991857	1.5982	14.260	729468928	6.689	115978240
silesia	nci	nexcomp	33553445	1441683	0.3437	15.610	1459044352	1.430	209514496
silesia	ooffice	nexcomp	6152192	2224547	2.8927	18.298	901992448	0.130	16117760
silesia	osdb	nexcomp	10085684	2638002	2.0925	18.218	733712384	9.704	167124992
silesia	reymont	nexcomp	6627202	1024878	1.2372	14.958	352698368	0.844	49356800
silesia	samba	nexcomp	21606400	3983399	1.4749	13.117	1065369600	7.941	154644480
silesia	sao	nexcomp	7251944	4358150	4.8077	13.206	599728128	9.741	115085312
silesia	webster	nexcomp	41458703	7233617	1.3958	27.465	1946849280	1.742	266485760
silesia	x-ray	nexcomp	8474240	3680912	3.4749	17.372	615792640	8.426	86802432
silesia	xml	nexcomp	5345280	386699	0.5788	6.103	304685056	0.574	35524608
silesia	total	nexcomp	211938580	45456856	1.7159	233.013	2183188480	58.778	0
silesia	dickens	xz	10192446	2831212	2.2222	6.685	146817024	0.139	11096064
silesia	mozilla	xz	51220480	13376240	2.0892	25.349	529526784	0.675	52101120
silesia	mr	xz	9970564	2751892	2.2080	6.530	150659072	0.165	10850304
silesia	nci	xz	33553445	1449272	0.3455	20.458	321556480	0.198	34430976
silesia	ooffice	xz	6152192	2427224	3.1562	2.563	123912192	0.128	7032832
silesia	osdb	xz	10085684	2844556	2.2563	4.699	159141888	0.155	10964992
silesia	reymont	xz	6627202	1315592	1.5881	4.162	125632512	0.093	7507968
silesia	samba	xz	21606400	3739524	1.3846	11.293	263000064	0.208	22487040
silesia	sao	xz	7251944	4425664	4.8822	3.076	133632000	0.197	8130560
silesia	webster	xz	41458703	8368672	1.6148	30.440	437633024	0.476	42336256
silesia	x-ray	xz	8474240	4491264	4.2399	3.518	144809984	0.230	9355264
silesia	xml	xz	5345280	434892	0.6509	1.593	112066560	0.052	6225920
silesia	total	xz	211938580	48456004	1.8291	120.366	529526784	2.716	0
silesia	dickens	bzip2	10192446	2799520	2.1973	0.780	7233536	0.406	4255744
silesia	mozilla	bzip2	51220480	17914392	2.7980	3.483	8114176	1.751	4259840
silesia	mr	bzip2	9970564	2441280	1.9588	0.532	7213056	0.297	4243456
silesia	nci	bzip2	33553445	1812734	0.4322	3.989	7196672	0.801	4227072
silesia	ooffice	bzip2	6152192	2862526	3.7223	0.477	7213056	0.279	4251648
silesia	osdb	bzip2	10085684	2802792	2.2232	0.708	7200768	0.379	4239360
silesia	reymont	bzip2	6627202	1246230	1.5044	0.492	7208960	0.248	4239360
silesia	samba	bzip2	21606400	4549759	1.6846	1.462	7221248	0.654	4259840
silesia	sao	bzip2	7251944	4940524	5.4502	0.697	7221248	0.369	4259840
silesia	webster	bzip2	41458703	8644714	1.6681	3.244	7213056	1.369	4243456
silesia	x-ray	bzip2	8474240	4051112	3.8244	0.617	7217152	0.385	4247552
silesia	xml	bzip2	5345280	441186	0.6603	0.528	7204864	0.156	4235264
silesia	total	bzip2	211938580	54506769	2.0575	17.009	8114176	7.094	0
silesia	dickens	zstd	10192446	2849067	2.2362	6.404	293421056	0.052	12972032
silesia	mozilla	zstd	51220480	14912855	2.3292	24.497	776159232	0.139	54566912
silesia	mr	zstd	9970564	3102188	2.4891	6.004	293470208	0.052	13189120
silesia	nci	zstd	33553445	1578460	0.3763	29.536	461365248	0.070	36716544
silesia	ooffice	zstd	6152192	2595237	3.3747	2.254	150822912	0.043	8847360
silesia	osdb	zstd	10085684	3099939	2.4589	4.530	293842944	0.047	13156352
silesia	reymont	zstd	6627202	1348575	1.6279	4.290	149946368	0.040	9285632
silesia	samba	zstd	21606400	3865420	1.4312	13.837	449679360	0.069	24547328
silesia	sao	zstd	7251944	5000576	5.5164	2.441	154259456	0.047	10010624
silesia	webster	zstd	41458703	8430552	1.6268	31.035	760512512	0.123	45039616
silesia	x-ray	zstd	8474240	5129828	4.8427	3.325	294273024	0.056	11194368
silesia	xml	zstd	5345280	451543	0.6758	3.194	147902464	0.034	7118848
silesia	total	zstd	211938580	52364240	1.9766	131.347	776159232	0.772	0
silesia	dickens	brotli	10192446	2827777	2.2195	22.077	191975424	0.063	12201984
silesia	mozilla	brotli	51220480	13872265	2.1667	157.127	306827264	0.263	23261184
silesia	mr	brotli	9970564	2823136	2.2652	24.200	179609600	0.070	11960320
silesia	nci	brotli	33553445	1519768	0.3624	67.718	211980288	0.081	18673664
silesia	ooffice	brotli	6152192	2478855	3.2234	17.541	131739648	0.074	8499200
silesia	osdb	brotli	10085684	2816278	2.2339	20.282	155451392	0.065	11902976
silesia	reymont	brotli	6627202	1332158	1.6081	13.516	110514176	0.044	8511488
silesia	samba	brotli	21606400	3766340	1.3945	40.399	256454656	0.102	19476480
silesia	sao	brotli	7251944	4586092	5.0592	17.057	137523200	0.079	9154560
silesia	webster	brotli	41458703	8428575	1.6264	92.373	297725952	0.193	18878464
silesia	x-ray	brotli	8474240	4682753	4.4207	28.238	256868352	0.113	10592256
silesia	xml	brotli	5345280	430566	0.6444	8.621	76922880	0.040	7258112
silesia	total	brotli	211938580	49564563	1.8709	509.149	306827264	1.187	0
enwik8	enwik8	nexcomp	100000000	24485454	1.9588	81.255	2205753344	4.117	347881472
enwik8	total	nexcomp	100000000	24485454	1.9588	81.255	2205753344	4.117	0
enwik8	enwik8	xz	100000000	24831648	1.9865	98.488	704835584	1.447	68009984
enwik8	total	xz	100000000	24831648	1.9865	98.488	704835584	1.447	0
enwik8	enwik8	bzip2	100000000	29008758	2.3207	7.387	7217152	3.966	4272128
enwik8	total	bzip2	100000000	29008758	2.3207	7.387	7217152	3.966	0
enwik8	enwik8	zstd	100000000	25272471	2.0218	95.618	862674944	0.251	102957056
enwik8	total	zstd	100000000	25272471	2.0218	95.618	862674944	0.251	0
enwik8	enwik8	brotli	100000000	25742001	2.0594	270.405	362397696	0.430	19120128
enwik8	total	brotli	100000000	25742001	2.0594	270.405	362397696	0.430	0
