corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
calgary	geo	bzip2	102400	56921	4.4470	0.056	1597440	0.055	1048576
calgary	news	bzip2	377109	118600	2.5160	0.122	3481600	0.155	2121728
calgary	obj1	bzip2	21504	10787	4.0130	0.068	1064960	0.054	700416
calgary	obj2	bzip2	246814	76441	2.4777	0.102	2658304	0.079	1650688
calgary	paper1	bzip2	53161	16558	2.4918	0.068	1261568	0.080	847872
calgary	paper2	bzip2	82199	25041	2.4371	0.079	1507328	0.072	1032192
calgary	pic	bzip2	513216	49759	0.7756	0.084	1781760	0.080	1179648
calgary	progc	bzip2	39611	12544	2.5334	0.065	1228800	0.073	847872
calgary	progl	bzip2	71646	15579	1.7396	0.081	1404928	0.068	925696
calgary	progp	bzip2	49379	10710	1.7352	0.053	1228800	0.046	823296
calgary	trans	bzip2	93695	17899	1.5283	0.053	1531904	0.050	991232
calgary	total	bzip2	3141622	828347	2.1093	1.254	6295552	1.170	0
calgary	bib	zstd	111261	31928	2.2957	0.155	3379200	0.047	1048576
calgary	book1	zstd	768771	264769	2.7552	0.604	21221376	0.057	2138112
calgary	book2	zstd	610856	173853	2.2768	0.453	20688896	0.045	1884160
calgary	geo	zstd	102400	63055	4.9262	0.091	3538944	0.045	1044480
calgary	news	zstd	377109	122696	2.6029	0.252	11177984	0.043	1499136
calgary	obj1	zstd	21504	9832	3.6577	0.047	1671168	0.042	929792
calgary	obj2	zstd	246814	70218	2.2760	0.190	6619136	0.045	1318912
calgary	paper1	zstd	53161	17621	2.6517	0.070	2437120	0.042	942080
calgary	paper2	zstd	82199	27561	2.6824	0.091	3354624	0.041	983040
calgary	pic	zstd	513216	43551	0.6789	0.538	11366400	0.043	1564672
calgary	progc	zstd	39611	12794	2.5839	0.070	2404352	0.042	921600
calgary	progl	zstd	71646	15153	1.6920	0.106	3342336	0.043	962560
calgary	progp	zstd	49379	10452	1.6934	0.086	2457600	0.041	921600
calgary	trans	zstd	93695	17298	1.4770	0.134	3383296	0.038	983040
calgary	total	zstd	3141622	880781	2.2429	2.887	21221376	0.614	0
calgary	bib	brotli	111261	28380	2.0406	0.336	7745536	0.038	1081344
calgary	book1	brotli	768771	256323	2.6674	2.190	24199168	0.041	2408448
calgary	book2	brotli	610856	165262	2.1643	1.877	24530944	0.039	2162688
calgary	geo	brotli	102400	52915	4.1340	0.545	7839744	0.041	991232
calgary	news	brotli	377109	112968	2.3965	1.155	20180992	0.041	1728512
calgary	obj1	brotli	21504	9341	3.4751	0.094	3051520	0.036	835584
calgary	obj2	brotli	246814	65203	2.1134	0.815	14737408	0.037	1413120
calgary	paper1	brotli	53161	15457	2.3261	0.157	4771840	0.036	937984
calgary	paper2	brotli	82199	24851	2.4186	0.231	6291456	0.038	1019904
calgary	pic	brotli	513216	40939	0.6382	1.539	19349504	0.036	1785856
calgary	progc	brotli	39611	11619	2.3466	0.119	3887104	0.038	897024
calgary	progl	brotli	71646	14003	1.5636	0.194	5832704	0.036	966656
calgary	progp	brotli	49379	9879	1.6005	0.146	4505600	0.040	905216
calgary	trans	brotli	93695	15403	1.3152	0.234	6782976	0.037	1036288
calgary	total	brotli	3141622	822543	2.0946	9.632	24530944	0.534	0
canterbury	alice29.txt	nexcomp	152089	40544	2.1326	0.478	54169600	0.075	2772992
canterbury	asyoulik.txt	nexcomp	125179	37486	2.3957	0.305	53624832	0.055	2473984
canterbury	cp.html	nexcomp	24603	7160	2.3282	0.086	41082880	0.042	4759552
canterbury	fields.c	nexcomp	11150	3022	2.1683	0.063	40300544	0.037	3112960
canterbury	grammar.lsp	nexcomp	3721	1189	2.5563	0.056	39542784	0.034	2375680
canterbury	kennedy.xls	nexcomp	1029744	36800	0.2859	2.253	146235392	2.024	53579776
canterbury	lcet10.txt	nexcomp	426754	99582	1.8668	1.197	67350528	0.115	4755456
canterbury	plrabn12.txt	nexcomp	481861	134699	2.2363	1.759	73490432	0.138	5181440
canterbury	ptt5	nexcomp	513216	31801	0.4957	1.238	112996352	0.823	36253696
canterbury	sum	nexcomp	38240	9904	2.0720	0.189	93491200	0.040	1581056
canterbury	xargs.1	nexcomp	4227	1646	3.1152	0.062	39505920	0.039	2318336
canterbury	total	nexcomp	2810784	403833	1.1494	7.686	146235392	3.422	0
canterbury	alice29.txt	xz	152089	48528	2.5526	0.137	29216768	0.039	1142784
canterbury	asyoulik.txt	xz	125179	44592	2.8498	0.113	28065792	0.041	1003520
canterbury	cp.html	xz	24603	7652	2.4882	0.064	20525056	0.039	905216
canterbury	fields.c	xz	11150	3032	2.1754	0.051	9482240	0.036	888832
canterbury	grammar.lsp	xz	3721	1292	2.7777	0.040	5545984	0.038	880640
canterbury	kennedy.xls	xz	1029744	51868	0.4030	1.729	33878016	0.048	1941504
canterbury	lcet10.txt	xz	426754	119488	2.2399	0.312	42168320	0.048	1306624
canterbury	plrabn12.txt	xz	481861	165456	2.7469	0.376	36384768	0.044	1359872
canterbury	ptt5	xz	513216	39860	0.6213	0.423	45142016	0.041	1392640
canterbury	sum	xz	38240	9500	1.9874	0.067	25890816	0.036	917504
canterbury	xargs.1	xz	4227	1812	3.4294	0.041	7446528	0.034	880640
canterbury	total	xz	2810784	493080	1.4034	3.353	45142016	0.444	0
canterbury	alice29.txt	bzip2	152089	43202	2.2725	0.047	1949696	0.038	1236992
canterbury	asyoulik.txt	bzip2	125179	39569	2.5288	0.044	1769472	0.037	1138688
canterbury	cp.html	bzip2	24603	7624	2.4790	0.034	1056768	0.031	733184
canterbury	fields.c	bzip2	11150	3039	2.1804	0.033	962560	0.032	679936
canterbury	grammar.lsp	bzip2	3721	1283	2.7584	0.031	659456	0.031	638976
canterbury	kennedy.xls	bzip2	1029744	130280	1.0121	0.104	7200768	0.059	4243456
canterbury	lcet10.txt	bzip2	426754	107706	2.0191	0.074	3817472	0.056	2310144
canterbury	plrabn12.txt	bzip2	481861	145577	2.4169	0.108	4288512	0.058	2568192
canterbury	ptt5	bzip2	513216	49759	0.7756	0.045	1773568	0.040	1134592
canterbury	sum	bzip2	38240	12909	2.7006	0.040	1138688	0.037	774144
canterbury	xargs.1	bzip2	4227	1762	3.3348	0.034	659456	0.033	638976
canterbury	total	bzip2	2810784	542710	1.5447	0.594	7200768	0.452	0
canterbury	alice29.txt	zstd	152089	49215	2.5887	0.132	6397952	0.037	1212416
canterbury	asyoulik.txt	zstd	125179	45141	2.8849	0.110	3547136	0.036	1044480
canterbury	cp.html	zstd	24603	7717	2.5093	0.045	1679360	0.034	897024
canterbury	fields.c	zstd	11150	3019	2.1661	0.038	1306624	0.034	880640
canterbury	grammar.lsp	zstd	3721	1215	2.6122	0.034	1011712	0.033	872448
canterbury	kennedy.xls	zstd	1029744	64818	0.5036	1.404	21352448	0.039	2084864
canterbury	lcet10.txt	zstd	426754	121340	2.2747	0.252	11341824	0.035	1544192
canterbury	plrabn12.txt	zstd	481861	167442	2.7799	0.312	11534336	0.043	1695744
canterbury	ptt5	zstd	513216	43551	0.6789	0.513	11431936	0.040	1564672
canterbury	sum	zstd	38240	11105	2.3232	0.076	2400256	0.037	913408
canterbury	xargs.1	zstd	4227	1728	3.2704	0.038	1097728	0.037	868352
canterbury	total	zstd	2810784	516291	1.4695	2.954	21352448	0.405	0
canterbury	alice29.txt	brotli	152089	46487	2.4453	0.412	10383360	0.036	1179648
canterbury	asyoulik.txt	brotli	125179	42713	2.7297	0.336	8949760	0.039	1118208
canterbury	cp.html	brotli	24603	6895	2.2420	0.088	2990080	0.036	872448
canterbury	fields.c	brotli	11150	2717	1.9494	0.062	2416640	0.036	794624
canterbury	grammar.lsp	brotli	3721	1125	2.4187	0.046	2011136	0.034	745472
canterbury	kennedy.xls	brotli	1029744	61498	0.4778	3.906	60047360	0.042	2658304
canterbury	lcet10.txt	brotli	426754	113416	2.1261	1.153	19189760	0.040	1826816
canterbury	plrabn12.txt	brotli	481861	163267	2.7106	1.274	20164608	0.035	1970176
canterbury	ptt5	brotli	513216	40939	0.6382	1.464	19296256	0.053	1794048
canterbury	sum	brotli	38240	10143	2.1220	0.118	3952640	0.032	884736
canterbury	xargs.1	brotli	4227	1464	2.7708	0.042	2019328	0.032	794624
canterbury	total	brotli	2810784	490664	1.3965	8.901	60047360	0.415	0
silesia	dickens	nexcomp	10192446	2344212	1.8400	26.817	515129344	1.297	71675904
silesia	mozilla	nexcomp	51220480	14148900	2.2099	146.142	2055983104	28.325	372240384
silesia	mr	nexcomp	9970564	1991857	1.5982	32.974	709984256	13.068	115998720
silesia	nci	nexcomp	33553445	1441683	0.3437	47.802	1458880512	2.613	222629888
silesia	ooffice	nexcomp	6152192	2224547	2.8927	45.264	934055936	0.316	16171008
silesia	osdb	nexcomp	10085684	2638002	2.0925	46.418	759496704	23.204	167231488
silesia	reymont	nexcomp	6627202	1024878	1.2372	22.605	346079232	1.210	49360896
silesia	samba	nexcomp	21606400	3983399	1.4749	21.490	1064194048	10.515	154681344
silesia	sao	nexcomp	7251944	4358150	4.8077	24.880	598429696	14.514	115044352
silesia	webster	nexcomp	41458703	7233617	1.3958	51.289	1909329920	2.146	266567680
silesia	x-ray	nexcomp	8474240	3680912	3.4749	31.830	615809024	12.548	86790144
silesia	xml	nexcomp	5345280	386699	0.5788	10.651	308494336	0.840	35532800
silesia	total	nexcomp	211938580	45456856	1.7159	508.162	2055983104	110.596	0
silesia	dickens	xz	10192446	2831212	2.2222	10.819	146821120	0.209	11096064
silesia	mozilla	xz	51220480	13376240	2.0892	34.153	529539072	0.928	52101120
silesia	mr	xz	9970564	2751892	2.2080	9.030	150659072	0.222	10850304
silesia	nci	xz	33553445	1449272	0.3455	26.804	321593344	0.251	34430976
silesia	ooffice	xz	6152192	2427224	3.1562	3.750	123912192	0.190	7032832
silesia	osdb	xz	10085684	2844556	2.2563	6.809	159125504	0.208	10964992
silesia	reymont	xz	6627202	1315592	1.5881	5.502	125775872	0.092	7507968
silesia	samba	xz	21606400	3739524	1.3846	15.944	263000064	0.283	22487040
silesia	sao	xz	7251944	4425664	4.8822	4.007	133632000	0.278	8130560
silesia	webster	xz	41458703	8368672	1.6148	45.865	437641216	0.624	42364928
silesia	x-ray	xz	8474240	4491264	4.2399	5.246	144809984	0.328	9355264
silesia	xml	xz	5345280	434892	0.6509	2.409	112066560	0.072	6225920
silesia	total	xz	211938580	48456004	1.8291	170.338	529539072	3.685	0
silesia	dickens	bzip2	10192446	2799520	2.1973	1.094	7217152	0.650	4247552
silesia	mozilla	bzip2	51220480	17914392	2.7980	5.256	8122368	3.098	4259840
silesia	mr	bzip2	9970564	2441280	1.9588	0.791	7204864	0.682	4251648
silesia	nci	bzip2	33553445	1812734	0.4322	6.079	7213056	1.545	4235264
silesia	ooffice	bzip2	6152192	2862526	3.7223	0.655	7221248	0.452	4276224
silesia	osdb	bzip2	10085684	2802792	2.2232	1.112	7213056	1.049	4284416
silesia	reymont	bzip2	6627202	1246230	1.5044	0.705	7208960	0.576	4247552
silesia	samba	bzip2	21606400	4549759	1.6846	2.215	7221248	1.155	4259840
silesia	sao	bzip2	7251944	4940524	5.4502	1.076	7221248	0.813	4259840
silesia	webster	bzip2	41458703	8644714	1.6681	4.796	7213056	2.536	4251648
silesia	x-ray	bzip2	8474240	4051112	3.8244	0.855	7217152	0.585	4247552
silesia	xml	bzip2	5345280	441186	0.6603	0.821	7204864	0.331	4243456
silesia	total	bzip2	211938580	54506769	2.0575	25.455	8122368	13.472	0
silesia	dickens	zstd	10192446	2849067	2.2362	11.093	293453824	0.064	12869632
silesia	mozilla	zstd	51220480	14912855	2.3292	33.632	776159232	0.187	54661120
silesia	mr	zstd	9970564	3102188	2.4891	8.438	293494784	0.070	13189120
silesia	nci	zstd	33553445	1578460	0.3763	41.685	461389824	0.079	36454400
silesia	ooffice	zstd	6152192	2595237	3.3747	3.267	150851584	0.061	8851456
silesia	osdb	zstd	10085684	3099939	2.4589	7.237	293842944	0.067	12763136
silesia	reymont	zstd	6627202	1348575	1.6279	5.652	149954560	0.055	9281536
silesia	samba	zstd	21606400	3865420	1.4312	19.419	449671168	0.071	24403968
silesia	sao	zstd	7251944	5000576	5.5164	3.496	154234880	0.055	10014720
silesia	webster	zstd	41458703	8430552	1.6268	45.161	760528896	0.153	44253184
silesia	x-ray	zstd	8474240	5129828	4.8427	5.606	294273024	0.077	11198464
silesia	xml	zstd	5345280	451543	0.6758	4.679	147902464	0.044	7127040
silesia	total	zstd	211938580	52364240	1.9766	189.365	776159232	0.983	0
silesia	dickens	brotli	10192446	2827777	2.2195	31.189	191987712	0.090	12197888
silesia	mozilla	brotli	51220480	13872265	2.1667	219.279	306884608	0.365	23269376
silesia	mr	brotli	9970564	2823136	2.2652	33.375	179654656	0.118	11960320
silesia	nci	brotli	33553445	1519768	0.3624	93.678	212168704	0.106	18673664
silesia	ooffice	brotli	6152192	2478855	3.2234	24.896	131764224	0.083	8499200
silesia	osdb	brotli	10085684	2816278	2.2339	30.536	155512832	0.098	11911168
silesia	reymont	brotli	6627202	1332158	1.6081	20.255	110551040	0.066	8511488
silesia	samba	brotli	21606400	3766340	1.3945	65.699	256495616	0.155	19492864
silesia	sao	brotli	7251944	4586092	5.0592	31.387	137654272	0.124	9195520
silesia	webster	brotli	41458703	8428575	1.6264	134.872	297807872	0.290	18866176
silesia	x-ray	brotli	8474240	4682753	4.4207	41.524	256925696	0.207	10596352
silesia	xml	brotli	5345280	430566	0.6444	12.198	76931072	0.048	7266304
silesia	total	brotli	211938580	49564563	1.8709	738.888	306884608	1.750	0
enwik8	enwik8	nexcomp	100000000	24485454	1.9588	175.444	2335932416	6.990	338194432
enwik8	total	nexcomp	100000000	24485454	1.9588	175.444	2335932416	6.990	0
enwik8	enwik8	xz	100000000	24831648	1.9865	174.700	705454080	1.513	67989504
enwik8	total	xz	100000000	24831648	1.9865	174.700	705454080	1.513	0
enwik8	enwik8	bzip2	100000000	29008758	2.3207	10.897	7217152	6.053	4255744
enwik8	total	bzip2	100000000	29008758	2.3207	10.897	7217152	6.053	0
enwik8	enwik8	zstd	100000000	25272471	2.0218	140.810	868794368	0.325	103583744
enwik8	total	zstd	100000000	25272471	2.0218	140.810	868794368	0.325	0
enwik8	enwik8	brotli	100000000	25742001	2.0594	356.212	362393600	0.692	19103744
enwik8	total	brotli	100000000	25742001	2.0594	356.212	362393600	0.692	0
